,Date,resource_pool,"VCPU, quota","VCPU, Allocated","VCPU, Used","RAM, quota","RAM, Allocated","RAM, Used","Storage, quota","Storage, Allocated","Storage, Used"
0,2019.12.02,0,3200,1152.0,36.0,32756,3798,11.594822322627918,102395,49519,48.36075980272474
1,2019.12.02,1,11200,9453.0,84.40178571428572,54017,35531,65.77744043541847,591000,504770,85.40947546531304
2,2019.12.02,2,6448,5515.0,85.53039702233252,46506,21171,45.52315830215456,372234,289444,77.75861420504306
3,2019.12.02,3,61410,51233.0,83.42778049177659,633358,208078,32.85314150922542,3307535,2600949,78.63708169376893
4,2019.12.02,4,39323,38548.0,98.02914324949775,224953,164402,73.08282174498673,3002226,2346392,78.15507560057105
5,2019.12.02,5,48200,34824.0,72.24896265560166,493318,190570,38.63025472413332,1870677,1322543,70.6986294266728
6,2019.12.02,6,20840,20431.0,98.03742802303263,127567,92477,72.49288609123049,1918603,1376144,71.7263550614692
7,2019.12.02,7,3200,34.0,1.0624999999999996,32761,120,0.36628918531180776,102395,560,0.5469017041847768
8,2019.12.02,8,3200,947.0,29.59375,32754,4597,14.034927031812904,148472,36518,24.595883398890034
9,2019.12.02,9,48000,6763.0,14.089583333333335,491267,38482,7.833214932002352,1750952,296643,16.941812225577856
10,2019.12.02,10,1500,1373.0,91.53333333333332,8548,5328,62.33036967711745,86000,83900,97.55813953488372
11,2019.12.02,11,1084,1054.0,97.23247232472325,6138,4099,66.78071032909743,50750,50725,99.95073891625616
12,2019.12.02,12,6300,2876.0,45.650793650793645,64485,17088,26.49918585717609,179190,88269,49.260003348401135
13,2019.12.02,13,39300,29081.0,73.99745547073792,402261,153913,38.261974190886015,1551277,1150292,74.15129599678201
14,2019.12.02,14,3200,893.0,27.90625,32754,4149,12.66715515662209,153592,32224,20.98025938850981
15,2019.12.02,15,4700,1837.0,39.08510638297872,48107,9257,19.242521878312925,148472,67370,45.375559027964876
16,2019.12.02,16,6260,4395.0,70.20766773162939,53047,31843,60.02789978698135,559828,440497,78.68434590624263
17,2019.12.02,17,448,448.0,100.0,3415,3276,95.92972181551977,87000,35193,40.45172413793103
18,2019.12.02,18,18800,10422.0,55.43617021276596,192369,50984,26.503230770030516,849875,413572,48.662685689071935
19,2019.12.02,19,400,370.0,92.5,2176,2060,94.66911764705885,11800,11800,100.0
20,2019.12.02,20,10821,3459.0,31.965622400887167,106470,14716,13.821733821733813,488474,163637,33.49963355265583
21,2019.12.02,21,160,151.0,94.375,320,301,94.0625,16000,4554,28.4625
22,2019.12.02,22,160,30.0,18.75,320,56,17.500000000000004,16000,840,5.249999999999999
23,2019.12.02,23,2100,215.0,10.238095238095235,16121,721,4.472427268779855,61435,4018,6.540245788231468
24,2019.11.25,0,7200,3726.0,51.75000000000001,70627,14663,20.761181984226997,358381,172938,48.255348358311394
25,2019.11.25,1,11200,9036.0,80.67857142857143,54017,34030,62.9986855989781,591000,486713,82.35414551607445
26,2019.11.25,2,6448,5462.0,84.70843672456576,46506,20949,45.04580054186557,372234,282800,75.97371545855566
27,2019.11.25,3,55010,50705.0,92.17415015451736,567850,205333,36.15972527956326,2992146,2544230,85.03027592904891
28,2019.11.25,4,38723,38137.0,98.48668749838598,224953,163215,72.55515596591289,3002226,2324682,77.43194549644163
29,2019.11.25,5,45000,31232.0,69.40444444444445,460626,173114,37.582333606874116,1707084,1200442,70.32120270590082
30,2019.11.25,6,19880,19309.0,97.12776659959759,127567,87288,68.42521968847744,1918603,1277338,66.57646214459166
31,2019.11.25,8,3200,963.0,30.09375,32754,4709,14.376870000610607,148472,37280,25.109111482299696
32,2019.11.25,9,54400,8218.0,15.10661764705883,556775,41407,7.436935925643217,2160532,319242,14.776082927723355
33,2019.11.25,10,1500,1383.0,92.2,8548,5364,62.751520823584464,86000,84250,97.96511627906976
34,2019.11.25,11,1084,1074.0,99.07749077490774,6138,4251,69.25708699902249,50750,50725,99.95073891625616
35,2019.11.25,12,3200,1580.0,49.375,32754,9400,28.698784881235884,92155,48582,52.71770386848246
36,2019.11.25,13,39300,28939.0,73.63613231552164,402261,153177,38.07900840499079,1551277,1143077,73.68619530876819
37,2019.11.25,14,3200,829.0,25.90625,32754,3773,11.519203761372655,153592,29822,19.416375852909006
38,2019.11.25,15,4700,1505.0,32.02127659574469,48107,7273,15.118381940258176,148472,55752,37.55051457513875
39,2019.11.25,16,5190,4787.0,92.23506743737957,56254,34615,61.5334020691862,646828,465112,71.9065964986055
40,2019.11.25,17,448,448.0,100.0,3415,3276,95.92972181551977,87000,35193,40.45172413793103
41,2019.11.25,18,18800,10326.0,54.92553191489362,192369,50352,26.174695507072343,849875,405202,47.67783497573173
42,2019.11.25,19,400,394.0,98.5,2176,2148,98.71323529411764,11800,11800,100.0
43,2019.11.25,20,10821,3310.0,30.588670178356907,106474,13795,12.956214662734569,488474,156895,32.119416795980946
44,2019.11.25,21,160,131.0,81.875,320,261,81.5625,16000,3954,24.71250000000001
45,2019.11.25,22,160,12.0,7.4999999999999964,320,24,7.4999999999999964,16000,360,2.2499999999999964
46,2019.11.25,23,2100,233.0,11.095238095238091,16121,755,4.683332299485143,61435,4543,7.3948075201432415
47,2019.11.18,0,4000,2875.0,71.875,37871,11871,31.345884713897174,255986,133667,52.216527466345816
48,2019.11.18,1,11200,8832.0,78.85714285714286,54017,33469,61.96012366477218,591000,481512,81.4741116751269
49,2019.11.18,2,6448,5641.0,87.48449131513647,46506,21841,46.96383262374747,372234,304062,81.68571382517449
50,2019.11.18,3,51810,48669.0,93.93746381007529,535094,194893,36.4221987164872,2804751,2383915,84.99560210514231
51,2019.11.18,4,32323,31524.0,97.52807598304614,194370,135915,69.92591449297731,2202226,1984167,90.09824604740841
52,2019.11.18,5,41800,29515.0,70.61004784688996,427872,163369,38.18174594271184,1604689,1095845,68.29017959243193
53,2019.11.18,6,15080,14794.0,98.10344827586206,96984,66799,68.87630949434957,1118603,995340,88.98063030404889
54,2019.11.18,8,3200,971.0,30.343750000000004,32754,4757,14.523416987238205,148472,37630,25.34484616628051
55,2019.11.18,9,51200,9023.0,17.623046875000004,524019,42789,8.165543615784921,2058137,321042,15.59867005937894
56,2019.11.18,10,1500,1377.0,91.8,8548,5340,62.47075339260646,86000,84250,97.96511627906976
57,2019.11.18,11,1084,1080.0,99.63099630996314,6138,4295,69.97393287715869,50750,50675,99.85221674876848
58,2019.11.18,12,3200,1560.0,48.75000000000001,32754,9280,28.33241741466691,92155,47961,52.0438391839835
59,2019.11.18,13,39300,28415.0,72.3027989821883,402261,150281,37.35907781266392,1551277,1115259,71.8929630233672
60,2019.11.18,14,3200,829.0,25.90625,32754,3773,11.519203761372655,250867,29822,11.887573893736525
61,2019.11.18,15,4700,1505.0,32.02127659574469,48107,7273,15.118381940258176,353262,55752,15.782054112811448
62,2019.11.18,16,5190,4755.0,91.6184971098266,56254,34499,61.32719451061257,646828,456168,70.52384868929606
63,2019.11.18,18,18800,9918.0,52.755319148936174,192369,48449,25.18545087826001,839636,375145,44.67948015568651
64,2019.11.18,19,400,390.0,97.5,2176,2148,98.71323529411764,11800,11800,100.0
65,2019.11.18,20,421,327.0,77.67220902612826,3091,1629,52.70139113555483,27698,13842,49.97472741714203
66,2019.11.18,23,2100,220.0,10.476190476190473,16121,730,4.5282550710253675,61435,4162,6.774639863270125
67,2019.11.11,0,2800,2789.0,99.60714285714286,28659,11531,40.235179175826104,204790,130687,63.815127691781825
68,2019.11.11,1,11200,8070.0,72.05357142857143,54017,29834,55.230760686450566,591000,442139,74.81201353637901
69,2019.11.11,2,6448,5366.0,83.21960297766748,46506,20755,44.62865006665807,372234,278412,74.79488708715485
70,2019.11.11,3,51810,47055.0,90.82223508975102,535158,189146,35.34395449568165,2804751,2306996,82.2531483186921
71,2019.11.11,4,32323,31529.0,97.54354484422855,194370,135836,69.88527036065236,2202226,1982935,90.04230265195307
72,2019.11.11,5,30200,27563.0,91.26821192052981,309131,152706,49.398475080144024,1117109,1023710,91.63922231402664
73,2019.11.11,6,15080,14747.0,97.79177718832891,96984,66545,68.61441062443289,1118603,993690,88.8331248888122
74,2019.11.11,8,3200,939.0,29.34375,32754,4501,13.741833058557727,148472,32970,22.206207230993048
75,2019.11.11,9,44800,8932.0,19.9375,458511,42604,9.291816335922142,1648557,318766,19.33606178009011
76,2019.11.11,10,1500,1183.0,78.86666666666666,6500,4574,70.36923076923077,76000,74400,97.89473684210527
77,2019.11.11,11,884,878.0,99.3212669683258,6138,3402,55.42521994134897,40750,40700,99.87730061349691
78,2019.11.11,12,3200,1560.0,48.75000000000001,32754,9280,28.33241741466691,92155,47961,52.0438391839835
79,2019.11.11,13,39300,28295.0,71.99745547073792,402261,149385,37.136336855921904,1551277,1111138,71.62731091868184
80,2019.11.11,14,3200,831.0,25.96875,32754,3775,11.52530988581547,358382,29874,8.335798114860681
81,2019.11.11,15,4700,1505.0,32.02127659574469,48107,7273,15.118381940258176,353262,55752,15.782054112811448
82,2019.11.11,16,5190,4537.0,87.41811175337187,56254,34093,60.60546805560494,646828,454740,70.30307902564515
83,2019.11.11,18,18800,9072.0,48.255319148936174,192369,44193,22.97303619606069,808946,332590,41.113992775784794
84,2019.11.11,19,400,390.0,97.5,2176,2148,98.71323529411764,11800,11800,100.0
